,Topic,Count,TopicLabel,WordScore,Sentiment
51,50,17,50_recipient wonderful gift_michele corcoran_charity pictured presenting_regiment veterans,"[('recipient wonderful gift', 0.02611702587245161), ('michele corcoran', 0.02611702587245161), ('charity pictured presenting', 0.02611702587245161), ('regiment veterans', 0.02611702587245161), ('michele corcoran cheque', 0.02611702587245161), ('presenting nurse manager', 0.02611702587245161), ('wonderful gift', 0.02611702587245161), ('presenting nurse', 0.02611702587245161), ('totally blown away', 0.02611702587245161), ('last week totally', 0.02611702587245161)]",positive
52,51,17,51_grant_court_future_permission,"[('grant', 0.018318463851290087), ('court', 0.01755693786156192), ('future', 0.016590218296125715), ('permission', 0.016071422461094057), ('delighted', 0.014883447061772059), ('council', 0.014806784306069408), ('planning', 0.014665773469852983), ('crown assuring', 0.014009453055787695), ('announce received grants', 0.014009453055787695), ('nuffield trust forces', 0.014009453055787695)]",positive
53,52,17,52_sanitiser_hand sanitiser_hand_hand washing,"[('sanitiser', 0.06761013487460824), ('hand sanitiser', 0.06761013487460824), ('hand', 0.06752528510453606), ('hand washing', 0.035188206614409995), ('donation hand sanitiser', 0.035188206614409995), ('keep', 0.03169576905671084), ('washing', 0.031067650037735296), ('safe', 0.030401729571519917), ('donation hand', 0.028475595917407497), ('thank thinking', 0.027488230219586362)]",positive
54,53,17,53_blood_make_blood donation_pancreatic,"[('blood', 0.09568213413423828), ('make', 0.03077084572121169), ('blood donation', 0.02666946000774971), ('pancreatic', 0.024984580306166442), ('donation', 0.024150537404295142), ('donations ever covid19', 0.019517388394394656), ('covid19 pandemic make', 0.019517388394394656), ('donation centre new', 0.019517388394394656), ('donation good', 0.019517388394394656), ('donation good health', 0.019517388394394656)]",positive
55,54,17,54_see coolthanks_work great see_coolthanks share amazing_see coolthanks share,"[('see coolthanks', 0.09752734627298357), ('work great see', 0.09752734627298357), ('coolthanks share amazing', 0.09752734627298357), ('see coolthanks share', 0.09752734627298357), ('coolthanks share', 0.09752734627298357), ('coolthanks', 0.09752734627298357), ('great see coolthanks', 0.09752734627298357), ('amazing work great', 0.09752734627298357), ('share amazing', 0.09752734627298357), ('work great', 0.09233226048117471)]",positive
56,55,17,55_elsie_adeyeye_olufunke_died,"[('elsie', 0.05009061113776398), ('adeyeye', 0.04005854779054334), ('olufunke', 0.04005854779054334), ('died', 0.039478522944037246), ('nurse', 0.03914032240894897), ('pandemic nursing love', 0.028367108101462826), ('internationalnursesday nursesday2020 betrothed', 0.028367108101462826), ('support one ambassadors', 0.028367108101462826), ('daughter covid19', 0.028367108101462826), ('little aunt elsie', 0.028367108101462826)]",positive
57,56,16,56_young people_young_work_people,"[('young people', 0.02855654829539903), ('young', 0.027243301765258684), ('work', 0.020005287897814715), ('people', 0.01760960932081055), ('keep good work', 0.015339544872271838), ('keep good', 0.015339544872271838), ('charity', 0.014576057351656764), ('1600', 0.01353697871328097), ('good work', 0.013253095253327648), ('achieved', 0.013253095253327648)]",positive
58,57,16,57_comptoncare_hospiceuk_palliativecare_hospice,"[('comptoncare', 0.06355797532170504), ('hospiceuk', 0.041968458467089166), ('palliativecare', 0.04058074402574685), ('hospice', 0.039408523348281904), ('hospicenurse', 0.03889735471486025), ('hospicecare', 0.03852547132432252), ('comptoncare hospiceuk', 0.03643996099990284), ('need ever', 0.035265282431643494), ('covid19', 0.029312828438728372), ('rt', 0.02885741083045076)]",positive
59,58,16,58_whos fundraising_justsponsored_ive justsponsored_donate ive,"[('whos fundraising', 0.15557538450071148), ('justsponsored', 0.15415288329426927), ('ive justsponsored', 0.15415288329426927), ('donate ive', 0.1537212801585322), ('donate ive justsponsored', 0.1537212801585322), ('whos', 0.1326438467982114), ('ive', 0.0905174944588476), ('donate', 0.0683767546274227), ('health donate ive', 0.06127827235718272), ('mental health donate', 0.05820157056671626)]",positive
60,59,16,59_2500_wages_80_retention scheme,"[('2500', 0.0494660346897583), ('wages', 0.04678002476946348), ('80', 0.043969808613118486), ('retention scheme', 0.04261425339195202), ('retention', 0.04261425339195202), ('job retention', 0.04261425339195202), ('job retention scheme', 0.04261425339195202), ('per worker', 0.03741100009174306), ('2500 month', 0.03741100009174306), ('employers', 0.036526502907387445)]",positive
