,Topic,Count,TopicLabel,WordScore,Sentiment
43,42,14,42_places_affect_covid19 affect_videos,"[('places', 0.032395123445855864), ('affect', 0.028065400573353706), ('covid19 affect', 0.027320197091441144), ('videos', 0.025644074204995246), ('covid19', 0.025022750071938663), ('businesses', 0.025007179222125496), ('university', 0.022146861905728815), ('people', 0.021466978624033527), ('schools hospitals', 0.02138251174009112), ('economics stops', 0.02138251174009112)]",negative
44,43,14,43_bonus_signup_earn_join,"[('bonus', 0.050849392825569016), ('signup', 0.03506614312336687), ('earn', 0.03296256221636881), ('join', 0.02911848570456612), ('earned', 0.027252118462074152), ('social media', 0.02353560902192963), ('100 bonus', 0.023233504488376137), ('lets earn money', 0.02272332930795162), ('money social', 0.02272332930795162), ('money social media', 0.02272332930795162)]",negative
45,44,13,44_quarantine_countries residence_sad diasporeans returning_long postponed holiday,"[('quarantine', 0.07730214083595877), ('countries residence', 0.04170399946468923), ('sad diasporeans returning', 0.04170399946468923), ('long postponed holiday', 0.04170399946468923), ('critical irresponsible', 0.04170399946468923), ('isnt critical irresponsible', 0.04170399946468923), ('isnt critical', 0.04170399946468923), ('inconveniences decided take', 0.04170399946468923), ('inconveniences decided', 0.04170399946468923), ('home esp coronaviruspandemic', 0.04170399946468923)]",negative
46,45,13,45_vaccine_covid19 vaccine_fakenews concerning_fakenews concerning covid19,"[('vaccine', 0.08027510519398545), ('covid19 vaccine', 0.07132464786027752), ('fakenews concerning', 0.05448739162246237), ('fakenews concerning covid19', 0.05448739162246237), ('vaccine message bloggerswithoutcovid19', 0.05448739162246237), ('health dont misled', 0.05448739162246237), ('concerning covid19', 0.05448739162246237), ('misled fakenews concerning', 0.05448739162246237), ('dont misled fakenews', 0.05448739162246237), ('vaccine message', 0.05448739162246237)]",negative
47,46,12,46_endsars_protest_turning_igp,"[('endsars', 0.06020335113740296), ('protest', 0.05256057443092694), ('turning', 0.03294586470195399), ('igp', 0.031210510502032596), ('endsars protest', 0.02470939852646549), ('nigerian police', 0.023407882876524445), ('nigeria', 0.021015766446395016), ('need', 0.02095249001212355), ('police', 0.019981897824346815), ('back', 0.019348945573121713)]",negative
48,47,12,47_covid19 allowance_salary covid19 allowance_20 salary covid19_20 salary,"[('covid19 allowance', 0.09553342324367954), ('salary covid19 allowance', 0.0818132081988607), ('20 salary covid19', 0.0818132081988607), ('20 salary', 0.0818132081988607), ('salary', 0.08070789155662929), ('salary covid19', 0.07353720352742775), ('20', 0.06601166170918085), ('paid 20 salary', 0.04604493621194313), ('nurses salary upgraded', 0.04604493621194313), ('nurses underpaid', 0.04604493621194313)]",negative
49,48,12,48_signed_covid19 hazard_covid19 hazard allowance_health industry,"[('signed', 0.07241314492318904), ('covid19 hazard', 0.060805646516333044), ('covid19 hazard allowance', 0.060805646516333044), ('health industry', 0.05926357818666365), ('10 distributing', 0.05926357818666365), ('distributing signed circular', 0.05926357818666365), ('circular byall', 0.05926357818666365), ('distributing signed', 0.05926357818666365), ('allowance approved fgn', 0.05926357818666365), ('industry mohedit', 0.05926357818666365)]",negative
50,49,12,49_go_ghana_man groaning pain_emergency unit fmc,"[('go', 0.023508979379943125), ('ghana', 0.020871779913690196), ('man groaning pain', 0.01967690386625262), ('emergency unit fmc', 0.01967690386625262), ('car good health', 0.01967690386625262), ('bed space man', 0.01967690386625262), ('go edakun', 0.01967690386625262), ('biko dan', 0.01967690386625262), ('biko dan allah', 0.01967690386625262), ('dan allah sil', 0.01967690386625262)]",negative
51,50,12,50_minister health_frontline healthcare workers_workers covid19 indeed_healthcare workers covid19,"[('minister health', 0.04686554227801202), ('frontline healthcare workers', 0.041023325738919536), ('workers covid19 indeed', 0.041023325738919536), ('healthcare workers covid19', 0.041023325738919536), ('allowance frontline healthcare', 0.041023325738919536), ('ehanireoutnow buhari lockdownextended', 0.041023325738919536), ('health aware payment', 0.041023325738919536), ('indeed country osagiemustresign', 0.041023325738919536), ('ehanireoutnow buhari', 0.041023325738919536), ('earth called', 0.041023325738919536)]",negative
52,51,12,51_faceshield_ngn_delivery_day,"[('faceshield', 0.12150433517712592), ('ngn', 0.10935390165941332), ('delivery', 0.10421123622282968), ('day', 0.0842041235733431), ('working day faceshield', 0.06914330617200343), ('delivery abuja', 0.06914330617200343), ('wholesale ngn', 0.06914330617200343), ('business working', 0.06914330617200343), ('business working day', 0.06914330617200343), ('cities business', 0.06914330617200343)]",negative
53,52,11,52_baby_woman_mother_nurse,"[('baby', 0.0806088615875583), ('woman', 0.06956276541480207), ('mother', 0.045759684498677455), ('nurse', 0.04044839184800778), ('body including', 0.027214105851025062), ('body including laps', 0.027214105851025062), ('prepared delivery', 0.027214105851025062), ('change clothe mother', 0.027214105851025062), ('care center nurse', 0.027214105851025062), ('taken hospital woman', 0.027214105851025062)]",negative
54,53,11,53_message covid19_sale hand sanitizers_produced sale_board produced,"[('message covid19', 0.0676754227157972), ('sale hand sanitizers', 0.056032506136586294), ('produced sale', 0.056032506136586294), ('board produced', 0.056032506136586294), ('steps contain', 0.056032506136586294), ('contain spread covid19', 0.056032506136586294), ('buildingourfuturetogether', 0.056032506136586294), ('board produced sale', 0.056032506136586294), ('produced sale hand', 0.056032506136586294), ('covid19 buildingourfuturetogether', 0.056032506136586294)]",negative
55,54,10,54_salary_half salary fight_deal salary telling_youre donating half,"[('salary', 0.05155756716668093), ('half salary fight', 0.04558084696084999), ('deal salary telling', 0.04558084696084999), ('youre donating half', 0.04558084696084999), ('accommodation transportation', 0.04558084696084999), ('fight covid19 dumb', 0.04558084696084999), ('donating half salary', 0.04558084696084999), ('transportation welfare', 0.04558084696084999), ('government whats big', 0.04558084696084999), ('youre donating', 0.04558084696084999)]",negative
